               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1494,              1.2316,              1.3541,             0.68342,              0.5663,             0.61727,              0.4542,                   0,                   0,                   0,            0.070014,           0.0033318,           0.0033318
                   1,              1.3012,              1.5935,              1.4446,             0.59932,             0.47159,             0.50732,             0.35717,                   0,                   0,                   0,            0.039948,           0.0065992,           0.0065992
                   2,              1.4983,              2.0573,              1.5758,             0.48442,             0.36531,              0.3694,             0.24675,                   0,                   0,                   0,           0.0098156,           0.0098005,           0.0098005
                   3,              1.5971,              2.2929,              1.6502,             0.54585,             0.40101,             0.42268,             0.28598,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.5436,              2.1616,               1.617,             0.56046,             0.43518,             0.45104,             0.31208,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.4984,              2.0598,              1.5888,             0.57516,             0.44685,             0.47576,             0.33358,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.4671,              1.9749,              1.5679,             0.59808,             0.46442,             0.49953,             0.35186,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.4409,              1.9231,              1.5496,             0.60848,             0.47379,             0.51324,             0.36435,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.4298,               1.876,              1.5415,             0.62562,              0.4883,             0.53176,             0.37751,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.4144,              1.8322,              1.5311,               0.611,             0.49881,             0.53867,             0.38629,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.3994,              1.8034,              1.5214,               0.622,             0.51328,             0.55046,             0.39735,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.3898,              1.7817,              1.5154,             0.64607,              0.5166,             0.55916,             0.40527,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.3761,              1.7467,              1.5047,             0.62109,             0.52665,             0.56618,             0.41175,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,               1.372,              1.7271,              1.5003,             0.66112,             0.52587,             0.57726,             0.42061,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.3611,              1.6984,              1.4947,             0.66714,             0.53024,             0.58256,              0.4233,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.3559,              1.6884,              1.4919,             0.66645,             0.53524,             0.58551,             0.42758,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.3522,              1.6754,              1.4884,             0.65375,             0.54261,             0.59137,             0.43281,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.3433,              1.6601,              1.4829,             0.64632,             0.55305,             0.59568,             0.43676,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,               1.341,              1.6461,              1.4805,              0.6765,             0.55058,             0.59989,             0.44102,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.3335,              1.6309,              1.4766,             0.67819,             0.55011,             0.60409,             0.44474,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.3277,              1.6192,              1.4704,             0.68931,             0.54982,             0.60709,             0.44752,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.3256,              1.6174,              1.4727,             0.67967,             0.55588,             0.60976,             0.44905,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,               1.322,              1.6015,              1.4681,             0.68224,             0.55777,             0.61155,             0.45103,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.3141,              1.5902,              1.4635,             0.68123,             0.56201,             0.61426,             0.45301,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.3157,              1.5851,              1.4654,             0.68597,             0.55951,             0.61529,             0.45509,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.3105,              1.5719,              1.4606,             0.67502,             0.56077,             0.61687,             0.45702,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.3061,              1.5665,              1.4552,             0.69052,             0.56071,             0.61776,             0.45762,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.3052,               1.558,              1.4569,             0.69512,             0.56056,             0.61897,             0.45885,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.3016,               1.551,              1.4528,             0.69756,              0.5607,                0.62,              0.4597,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.2949,              1.5381,              1.4507,              0.7004,             0.55902,             0.62065,             0.46049,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.2958,              1.5354,              1.4504,             0.69678,             0.56181,             0.62086,              0.4609,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.2927,              1.5235,              1.4469,             0.69461,             0.56409,             0.62161,             0.46164,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.2893,              1.5123,              1.4433,             0.69296,             0.56496,             0.62235,             0.46223,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,               1.283,              1.5093,              1.4401,             0.68693,             0.56883,             0.62302,              0.4629,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.2854,              1.5033,              1.4406,             0.68531,             0.57067,             0.62355,             0.46342,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.2827,               1.498,              1.4396,             0.68667,             0.57198,             0.62395,             0.46399,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.2772,              1.4944,              1.4369,             0.68805,              0.5713,             0.62413,             0.46413,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.2801,              1.4871,              1.4351,             0.68343,             0.57469,             0.62535,             0.46514,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,               1.273,              1.4815,              1.4327,              0.6864,             0.57467,              0.6263,              0.4661,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.2687,              1.4729,              1.4311,             0.68807,             0.57356,             0.62719,              0.4665,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.2683,              1.4666,              1.4296,             0.67224,             0.57704,             0.62771,             0.46686,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.2637,              1.4623,              1.4295,             0.67361,             0.57722,             0.62827,             0.46741,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.2653,              1.4584,                1.43,             0.68644,             0.57705,             0.62881,             0.46792,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.2657,              1.4536,               1.429,             0.68527,             0.57763,              0.6297,             0.46845,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.2595,               1.442,               1.423,             0.68841,             0.57532,                0.63,             0.46912,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.2559,              1.4372,              1.4236,             0.68929,             0.57564,             0.63024,             0.46976,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.2555,              1.4338,              1.4239,             0.67746,               0.576,              0.6311,             0.47034,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.2523,               1.426,              1.4209,              0.6832,             0.57452,             0.63181,             0.47062,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.2484,              1.4225,              1.4165,              0.6882,             0.57146,             0.63225,             0.47128,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.2457,              1.4159,              1.4145,             0.68466,             0.57479,             0.63271,             0.47147,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.2464,              1.4075,              1.4139,             0.68054,             0.58014,             0.63327,             0.47216,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.2415,               1.395,              1.4099,             0.67623,             0.58507,             0.63379,              0.4726,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.2405,              1.3951,              1.4104,              0.6773,             0.58511,             0.63402,             0.47294,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.2371,              1.3917,              1.4074,             0.67994,             0.58747,             0.63442,              0.4733,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.2333,               1.385,              1.4054,             0.68674,             0.58446,             0.63504,             0.47351,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.2329,              1.3837,              1.4063,             0.68717,             0.58436,             0.63576,             0.47416,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.2297,              1.3739,               1.405,             0.69111,             0.58326,             0.63601,              0.4746,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.2275,              1.3649,              1.4044,             0.69363,             0.58278,             0.63663,             0.47511,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
